Month,Year,ChangeUSD,ChangeBTC
August,2015,8.87674,23.394684310363
September,2015,-47.5261533932685,-49.473205568705800000
October,2015,35.8350288210203,3.017968599919530000
November,2015,-11.1111111111111,-22.3074585115124
December,2015,9.909331491881,-7.2659769045732200000
January,2016,143.670673713943,189.124296408396000000
February,2016,192.20545927860200,147.783217709289
March,2016,51.2082635099271,57.33394491981780000
April,2016,-24.2169621355305,-29.725051379650200000
May,2016,59.9902457745713,37.1092258795492
June,2016,-10.4680526992424,-28.6153291443785
July,2016,-2.6913999764970,5.5174588397162
August,2016,5.4464863914324,11.754872526911600000
September,2016,9.4418133339727,2.85513903223312000
October,2016,-17.0760853197458,-26.9820488049932
November,2016,-20.3566576802206,-21.604199662313
December,2016,-3.90305613342562,-25.254846995997300000
January,2017,30.9156793553527,34.803040857303200000
February,2017,45.9818267015239,21.307487937715400000
March,2017,189.7766209977550,229.078821693766
April,2017,58.8301440185971,25.2205785149816
May,2017,192.350822873166,82.6933412046715
June,2017,25.277854977138,22.57972678203450000
July,2017,-23.144740099239,-35.23289980795270000
August,2017,72.161190140702,-0.946142866720569
September,2017,-22.969146528408,-12.59738283334940000
October,2017,0.606618063314,-31.4200919248981
November,2017,50.956354868588,1.57282814860628000
December,2017,60.805373505542,24.8529970798199
January,2018,44.9928573995583,94.25472557093000000
February,2018,-16.4690086536101,-26.73842415023370000
March,2018,-54.617353110984,-28.38440668861440000
April,2018,76.440951668112,30.09344761531330000
May,2018,-14.304882431519,3.95338976700964000
June,2018,-21.958896774792,-7.95192820399512000
July,2018,-4.426734588871,-21.29844102292510000
August,2018,-32.648605139749,-27.1689744812258
September,2018,-21.266811461558,-14.25874285212200000
October,2018,-14.361726449799,-10.8921397271873
November,2018,-43.5689546148672,-9.914231599936630000
December,2018,11.811543645093,25.787191893131100000
January,2019,-24.013146233439,-15.144948821731
February,2019,26.370131983276,14.7791747339755000
March,2019,4.75456291475271,-2.50362082208957
April,2019,13.194183661094,-11.0539615024162
May,2019,68.480030643399,4.66078169683598
June,2019,10.002465685433,-13.208229636147300000
July,2019,-25.7855901669916,-22.018815955461700000
August,2019,-20.784412695476,-14.225473178133100000
September,2019,4.846198067093,23.5887000677573
October,2019,3.281004569484,-6.203253916558080000
November,2019,-17.095151562712,1.50406305967299
December,2019,-15.107088026358,-12.142074220269100000
January,2020,38.625960408104,6.231214787095330000
February,2020,19.905909449645,31.0803705552656
March,2020,-38.9324430177811,-18.906376632057800000
April,2020,52.28380249733,16.919787277697
May,2020,8.805468068679,2.13444922273916
June,2020,-9.37557062764801,1.08202875386545
